slug,earning_after_first_date,expense_after_first_date,earning_after_first_expense,expense_after_first_expense
vueComponent/ant-design-vue,1043.0,-35.0,101.0,-5.0
techqueria/website,,,,
tryhtml/themes.tryhtml,,,,
intelligo-systems/intelligo,5.0,-4.0,0.0,-4.0
intelligo-systems/memorize-bot,5.0,-4.0,0.0,-4.0
vuejs/vuepress,,,,
codesandbox/codesandbox-client,6840.0,0.0,,
andersevenrud/osjs-debian,,,,
os-js/osjs-wireless-tools-provider,,,,
os-js/osjs-installers,,,,
os-js/osjs-example-vue-application,,,,
os-js/osjs-event-emitter,,,,
os-js/osjs-proc-provider,,,,
os-js/osjs-example-react-application,,,,
os-js/osjs-windows8-theme,,,,
w3develops/w3develops,,,,
zacanger/styled-reset,,,,
zloirock/core-js,8345.0,0.0,,
TonnyL/Awesome_APIs,,,,
pogovictoriabot/miscordvictoriatx,,,,
MSPaintIDE/MSPaintIDE,,,,
andersevenrud/osjs-ldap-auth,,,,
eddiejibson/limitrr,,,,
ddanninger/mautic-plugin-grapesbuilder,1509.0,-398.08,359.0,-300.0
mousumi-dualcube/gitSharedreact,1038.0,0.0,57.0,-1300.0
jeantimex/ios-swift-collapsible-table-section,,,,
nestjs/nest-cli,7733.91,-6534.01,4904.5,-5600.0
nestjs/typescript-starter,7733.91,-6534.01,4904.5,-5600.0
nestjs/graphql,7733.91,-6534.01,4904.5,-5600.0
nestjs/swagger,7733.91,-6534.01,4904.5,-5600.0
nestjs/typeorm,7733.91,-6534.01,4904.5,-5600.0
nestjs/cqrs,7733.91,-6534.01,4904.5,-5600.0
nestjs/docs.nestjs.com,7733.91,-6534.01,4904.5,-5600.0
nestjs/ng-universal,7733.91,-6534.01,4904.5,-5600.0
kelvin-mai/nest-ideas-api,7733.91,-6534.01,4904.5,-5600.0
nestjs/terminus,7733.91,-6534.01,4904.5,-5600.0
nestjs/schematics,7733.91,-6534.01,4904.5,-5600.0
nestjs/passport,7733.91,-6534.01,4904.5,-5600.0
nestjs/jwt,7733.91,-6534.01,4904.5,-5600.0
WonderPanda/nestjs-microservice-architecture,7733.91,-6534.01,4904.5,-5600.0
nestjs/elasticsearch,7733.91,-6534.01,4904.5,-5600.0
kelvin-mai/nest-commerce,7733.91,-6534.01,4904.5,-5600.0
nestjs/javascript-starter,7733.91,-6534.01,4904.5,-5600.0
nestjs/nestjs.com,7733.91,-6534.01,4904.5,-5600.0
benawad/nest-mongo-graphql,7733.91,-6534.01,4904.5,-5600.0
mdoury/nestjs-auth-starter-kit,7733.91,-6534.01,4904.5,-5600.0
ifaim/nestjs-express-cassandra,7733.91,-6534.01,4904.5,-5600.0
balta-io/1980,7733.91,-6534.01,4904.5,-5600.0
yemiwebby/bookstore-nest,7733.91,-6534.01,4904.5,-5600.0
TimurRK/nestjs-example,7733.91,-6534.01,4904.5,-5600.0
Samox/dojo-event-sourcing-cqrs,7733.91,-6534.01,4904.5,-5600.0
zmj0920/material-warehouse,7733.91,-6534.01,4904.5,-5600.0
rcanessa89/nest-js-starter,,,,
cdiaz/nest-job-queue,7733.91,-6534.01,4904.5,-5600.0
jajaperson/nestjs-auth0,7733.91,-6534.01,4904.5,-5600.0
Blacate/dwz,7733.91,-6534.01,4904.5,-5600.0
joshuamorony/nestjs-mongodb-jwt-auth,7733.91,-6534.01,4904.5,-5600.0
chriszrc/nestjs-typescript-starter-postgres,7733.91,-6534.01,4904.5,-5600.0
InsaneWookie/mame-highscores,,,,
juangonzaq/nestjs-ddd,7733.91,-6534.01,4904.5,-5600.0
techiediaries/nestjs-upload-serve-file,7733.91,-6534.01,4904.5,-5600.0
impactbyte-tech/learn-nestjs,7733.91,-6534.01,4904.5,-5600.0
kostis-codefresh/nestjs-example,7733.91,-6534.01,4904.5,-5600.0
mhkz/marry-service,7733.91,-6534.01,4904.5,-5600.0
aperdizs/rdr2-animals,7733.91,-6534.01,4904.5,-5600.0
